data,pais,variavel,valor
1960-01-01,Australia,"Câmbio (USD, média)",0.892856999892857
1960-01-01,Australia,"Inflação (%, anual)",3.72881355932205
1960-01-01,Belgium,"Câmbio (USD, média)",50.000000049
1960-01-01,Belgium,"Inflação (%, anual)",0.299467254769634
1960-01-01,Brazil,"Câmbio (USD, média)",8.09970533496994e-14
1960-01-01,Cameroon,"Câmbio (USD, média)",245.195101398359
1960-01-01,Canada,"Câmbio (USD, média)",0.969766786666667
1960-01-01,Canada,"Inflação (%, anual)",1.35869565217391
1960-01-01,Costa Rica,"Câmbio (USD, média)",5.615000004615
1960-01-01,Costa Rica,"Inflação (%, anual)",0.790205817960056
1960-01-01,Denmark,"Câmbio (USD, média)",6.90714000590714
1960-01-01,Denmark,"Inflação (%, anual)",1.25523012552926
1960-01-01,Ecuador,"Câmbio (USD, média)",15.000000015
1960-01-01,Ecuador,"Inflação (%, anual)",1.67659912611288
1960-01-01,Euro area,"Inflação (%, anual)",1.7411808474692
1960-01-01,France,"Câmbio (USD, média)",4.93706000393706
1960-01-01,France,"Inflação (%, anual)",4.1399357551843
1960-01-01,Germany,"Câmbio (USD, média)",4.2000000032
1960-01-01,Germany,"Inflação (%, anual)",1.53661234295201
1960-01-01,Ghana,"Câmbio (USD, média)",7.13915966742473e-05
1960-01-01,"Iran, Islamic Rep.","Câmbio (USD, média)",75.75000007575
1960-01-01,"Iran, Islamic Rep.","Inflação (%, anual)",9.82241081297881
1960-01-01,Japan,"Câmbio (USD, média)",360.000000359
1960-01-01,Japan,"Desemprego (%, total)",1.7
1960-01-01,Japan,"Inflação (%, anual)",3.57451152535914
1960-01-01,Japan,"Juros (%, depósito)",6.71858461538461
1960-01-01,"Korea, Rep.","Câmbio (USD, média)",63.125
1960-01-01,"Korea, Rep.","Inflação (%, anual)",7.96556575482593
1960-01-01,Mexico,"Câmbio (USD, média)",0.0125000000125
1960-01-01,Mexico,"Inflação (%, anual)",4.92751886903111
1960-01-01,Morocco,"Câmbio (USD, média)",5.06049000406049
1960-01-01,Morocco,"Inflação (%, anual)",3.42429906542058
1960-01-01,Netherlands,"Câmbio (USD, média)",3.8000000028
1960-01-01,Netherlands,"Inflação (%, anual)",2.32394366197218
1960-01-01,Poland,"Câmbio (USD, média)",0.0003999999999
1960-01-01,Portugal,"Câmbio (USD, média)",28.75000002875
1960-01-01,Portugal,"Inflação (%, anual)",3.04659277832702
1960-01-01,Saudi Arabia,"Câmbio (USD, média)",4.5000000035
1960-01-01,Senegal,"Câmbio (USD, média)",245.195101398359
1960-01-01,Spain,"Câmbio (USD, média)",60.000000059
1960-01-01,Spain,"Inflação (%, anual)",1.17777108409628
1960-01-01,Switzerland,"Câmbio (USD, média)",4.37295000337295
1960-01-01,Switzerland,"Inflação (%, anual)",1.43879470321088
1960-01-01,Tunisia,"Câmbio (USD, média)",0.41999999942
1960-01-01,United Kingdom,"Câmbio (USD, média)",0.357142999357143
1960-01-01,United Kingdom,"Inflação (%, anual)",1.00357570390171
1960-01-01,United Kingdom,"Juros (%, depósito)",3.375
1960-01-01,United States,"Câmbio (USD, média)",1.0
1960-01-01,United States,"Desemprego (%, total)",5.5
1960-01-01,United States,"Inflação (%, anual)",1.45797598627786
1960-01-01,Uruguay,"Câmbio (USD, média)",1.12966666666667e-05
1960-01-01,Uruguay,"Inflação (%, anual)",38.5040374002647
1961-01-01,Argentina,"PIB (%, cresc. anual)",5.42784287621933
1961-01-01,Australia,"Câmbio (USD, média)",0.892856999892857
1961-01-01,Australia,"Inflação (%, anual)",2.2875816993464
1961-01-01,Australia,"PIB (%, cresc. anual)",2.48265607743198
1961-01-01,Belgium,"Câmbio (USD, média)",50.000000049
1961-01-01,Belgium,"Inflação (%, anual)",0.992676260767344
1961-01-01,Belgium,"PIB (%, cresc. anual)",4.97842306319197
1961-01-01,Brazil,"Câmbio (USD, média)",1.16843478826882e-13
1961-01-01,Brazil,"PIB (%, cresc. anual)",8.60000000000014
1961-01-01,Cameroon,"Câmbio (USD, média)",245.26010162116
1961-01-01,Cameroon,"PIB (%, cresc. anual)",1.18368081101198
1961-01-01,Canada,"Câmbio (USD, média)",1.01306251583333
1961-01-01,Canada,"Inflação (%, anual)",1.01876675603215
1961-01-01,Canada,"PIB (%, cresc. anual)",3.16329168371298
1961-01-01,Costa Rica,"Câmbio (USD, média)",5.95166667161833
1961-01-01,Costa Rica,"Inflação (%, anual)",2.4307939100916
1961-01-01,Costa Rica,"PIB (%, cresc. anual)",1.8792765563641
1961-01-01,Denmark,"Câmbio (USD, média)",6.90714000590714
1961-01-01,Denmark,"Inflação (%, anual)",3.45162858557826
1961-01-01,Denmark,"PIB (%, cresc. anual)",6.37883247557384
1961-01-01,Ecuador,"Câmbio (USD, média)",16.5000000165
1961-01-01,Ecuador,"Inflação (%, anual)",3.98562050634916
1961-01-01,Ecuador,"PIB (%, cresc. anual)",5.12441487941237
1961-01-01,Euro area,"Inflação (%, anual)",1.87084961406322
1961-01-01,France,"Câmbio (USD, média)",4.93706000393706
1961-01-01,France,"Inflação (%, anual)",2.4004610454632
